time,open,high,low,close
2020-05-07T20:30:00Z,273,278.5,272.88,277.8
2020-05-10T20:30:00Z,279.79,281.83,273.39,274.85
2020-05-11T20:30:00Z,275.75,279.05,274.94,277.13
2020-05-12T20:30:00Z,278.37,278.79,271.55,272.87
2020-05-13T20:30:00Z,272.9,280.97,271.8,279.65
2020-05-14T20:30:00Z,279.94,285.89,279.46,285.33
2020-05-17T20:30:00Z,285.15,300.7,285.15,296.36
2020-05-18T20:30:00Z,296.36,300.25,294.55,296.49
2020-05-19T20:30:00Z,296.49,303.62,295.35,301.52
2020-05-20T20:30:00Z,301.52,305.62,299.58,301.52
2020-05-21T20:30:00Z,301.52,302.21,290.51,297.92
2020-05-25T20:30:00Z,297.92,305.38,297.92,303.49
2020-05-26T20:30:00Z,303.49,303.49,295.35,297.3
2020-05-27T20:30:00Z,297.3,301.9,292.74,299.51
2020-05-28T20:30:00Z,299.51,308.06,295.39,307.08
2020-05-31T20:30:00Z,307.08,308.51,302.57,307.35
2020-06-01T20:30:00Z,307.35,313.02,307.34,312.67
2020-06-02T20:30:00Z,312.67,316.68,309.52,313.91
2020-06-03T20:30:00Z,313.91,316.46,310.83,316
2020-06-04T20:30:00Z,316.51,326.27,315.59,325.54
2020-06-07T20:30:00Z,326.07,329.91,321.03,321.63
2020-06-08T20:30:00Z,322.2,324.85,318,324.41
2020-06-09T20:30:00Z,325.02,328.56,321.65,327.43
2020-06-10T20:30:00Z,327.97,327.97,311.46,313.28
2020-06-11T20:30:00Z,314.79,318.65,307.81,314.28
2020-06-14T20:30:00Z,314.28,317.69,307.14,317.2
2020-06-15T20:30:00Z,317.2,325.92,315.74,322.31
2020-06-16T20:30:00Z,322.31,323.96,318.13,321.63
2020-06-17T20:30:00Z,321.63,324.7,318.7,324.4
2020-06-18T20:30:00Z,324.4,330.69,323.3,327.64
2020-06-21T20:30:00Z,327.64,330.73,325.75,330.63
2020-06-22T20:30:00Z,330.63,333.84,326.03,329.77
2020-06-23T20:30:00Z,329.77,330.33,316.98,319.02
2020-06-24T20:30:00Z,319.02,321.64,314.5,320.22
2020-06-25T20:30:00Z,320.22,323.17,315.48,317.49
2020-06-28T20:30:00Z,318.09,325.19,314.78,324.24
2020-06-29T20:30:00Z,324.57,328.42,322.46,325.49
2020-06-30T20:30:00Z,325.48,331.38,324.69,328.86
2020-07-01T20:30:00Z,328.74,333.16,327.73,331.88
2020-07-05T20:30:00Z,332.86,336.16,332.12,334.28
2020-07-06T20:30:00Z,334.28,336.42,331.08,335.18
2020-07-07T20:30:00Z,335.51,337.81,334.12,337.25
2020-07-08T20:30:00Z,337.65,339.24,333.37,333.88
2020-07-09T20:30:00Z,334.28,338.54,330.2,337.9
2020-07-12T20:30:00Z,338.3,338.43,334.86,336.24
2020-07-13T20:30:00Z,336.63,337.57,331.63,335.75
2020-07-14T20:30:00Z,335.75,340.12,334.71,339.95
2020-07-15T20:30:00Z,339.95,340.06,337.53,338.3
