time,open,high,low,close,Volume,Volume MA
2020-12-31T14:00:00Z,1902.5,1904,1895.6,1896.8,10609,4912.55
2020-12-31T15:00:00Z,1896.8,1904.4,1895.8,1903,11850,5144.8
2020-12-31T16:00:00Z,1902.9,1904.4,1898.1,1899.7,9625,5447.6
2020-12-31T17:00:00Z,1899.7,1900.2,1896.3,1898.1,5222,5548.6
2020-12-31T18:00:00Z,1898.1,1898.6,1893.8,1897.3,6863,5737.15
2020-12-31T19:00:00Z,1897.3,1900.9,1897,1900.4,2849,5720.7
2020-12-31T20:00:00Z,1900.3,1904.1,1899.9,1903.7,3655,5788.95
2020-12-31T21:00:00Z,1903.7,1904.1,1900.2,1901.6,1662,5484.6
2021-01-03T23:00:00Z,1908.2,1918.9,1906.1,1917.4,15099,5944.6
2021-01-04T00:00:00Z,1917.1,1918.5,1914.6,1917.9,4126,5847.75
2021-01-04T01:00:00Z,1917.9,1923.4,1916.9,1921.5,11500,6330.75
2021-01-04T02:00:00Z,1921.5,1926,1920.3,1925.7,6499,6471.75
2021-01-04T03:00:00Z,1925.8,1929.2,1924.8,1927.4,5757,6477.85
2021-01-04T04:00:00Z,1927.3,1927.9,1924.5,1926.9,3039,6297.9
2021-01-04T05:00:00Z,1926.9,1927.4,1923.4,1926.1,4170,6232.2
2021-01-04T06:00:00Z,1926.2,1930,1925.9,1927.4,6733,6313.75
2021-01-04T07:00:00Z,1927.5,1929.6,1926.8,1928.8,4389,6336.05
2021-01-04T08:00:00Z,1928.9,1939.1,1928.6,1936.4,14472,6940.15
2021-01-04T09:00:00Z,1936.3,1938.5,1935,1936.2,5200,7066.85
2021-01-04T10:00:00Z,1936.1,1938.7,1931.8,1937.9,8475,7089.7
2021-01-04T11:00:00Z,1937.8,1941,1936.6,1937.8,8984,7008.45
2021-01-04T12:00:00Z,1937.7,1939.1,1934,1935.8,9746,6903.25
2021-01-04T13:00:00Z,1935.8,1946.4,1933.6,1944.3,26262,7735.1
2021-01-04T14:00:00Z,1944.3,1948,1940.7,1945.6,23601,8654.05
2021-01-04T15:00:00Z,1945.7,1948.7,1933,1947.3,35622,10092
2021-01-04T16:00:00Z,1947.3,1948.1,1941.6,1944.3,15084,10703.75
2021-01-04T17:00:00Z,1944.3,1945.9,1936.1,1941.2,16137,11327.85
2021-01-04T18:00:00Z,1941.1,1948.2,1940.3,1948.1,12410,11865.25
2021-01-04T19:00:00Z,1948.2,1948.2,1943.7,1946.9,4388,11329.7
2021-01-04T20:00:00Z,1946.9,1948.5,1945.4,1947.9,4570,11351.9
2021-01-04T21:00:00Z,1948,1948.2,1945.9,1946.7,1907,10872.25
2021-01-04T23:00:00Z,1946,1949.2,1944.1,1945.5,3334,10714
2021-01-05T00:00:00Z,1945.4,1945.4,1942,1942.7,3933,10622.8
2021-01-05T01:00:00Z,1942.7,1944,1938.4,1941,6864,10814.05
2021-01-05T02:00:00Z,1941.1,1943.7,1940.2,1942.8,4150,10813.05
2021-01-05T03:00:00Z,1942.7,1947.8,1942.6,1945,4939,10723.35
2021-01-05T04:00:00Z,1945,1945.7,1940.8,1943.9,3712,10689.5
2021-01-05T05:00:00Z,1943.8,1944.8,1941.5,1942.4,3130,10122.4
2021-01-05T06:00:00Z,1942.4,1946.2,1940.8,1944.5,5568,10140.8
2021-01-05T07:00:00Z,1944.4,1947.7,1942.7,1943.3,4419,9938
2021-01-05T08:00:00Z,1943.4,1947.4,1943.1,1946.1,4144,9696
2021-01-05T09:00:00Z,1946.1,1952,1945.5,1949.5,8934,9655.4
2021-01-05T10:00:00Z,1949.5,1951.5,1947.3,1950.8,4862,8585.4
2021-01-05T11:00:00Z,1950.7,1954.2,1950.1,1953.8,7334,7772.05
2021-01-05T12:00:00Z,1953.8,1954.6,1948.8,1952.5,9452,6463.55
2021-01-05T13:00:00Z,1952.6,1955.4,1949.5,1952.9,15977,6508.2
2021-01-05T14:00:00Z,1953,1956,1944.4,1948.8,22454,6824.05
2021-01-05T15:00:00Z,1948.7,1951.9,1941.8,1946.4,24178,7412.45
2021-01-05T16:00:00Z,1946.4,1954.8,1945.6,1953.8,12965,7841.3
2021-01-05T17:00:00Z,1954,1955.3,1951.2,1953.4,7626,7994.1
2021-01-05T18:00:00Z,1953.4,1955.7,1952.2,1954.8,7163,8256.9
2021-01-05T19:00:00Z,1954.9,1957,1953.5,1954.7,5426,8361.5
2021-01-05T20:00:00Z,1954.7,1955.7,1951.7,1953,8461,8587.9
2021-01-05T21:00:00Z,1953,1954.3,1951.2,1953.7,2546,8372
2021-01-05T23:00:00Z,1952.8,1959,1952.7,1954,3773,8353.15
